policy_id,family,horizon_hours,lookback_hours,threshold,maximum_spread,exit_hours,risk_fraction,scenario,training_cash,training_pnl,total_fees,closed_trades,release_days,maximum_cost_drawdown,mean_daily_log_growth,simultaneous_lower_daily_log_growth,selection_rejections
78890181c26c3b59,momentum,24,1,0.03,0.08,1,0.025,costed,158.9,-41.1,16.7,77,36,0.2055,-0.0009275898911506694,-0.0033895390680704256,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
78890181c26c3b59,momentum,24,1,0.03,0.08,1,0.05,costed,160.28,-39.72,22.78,56,33,0.21684745431447278,-0.0008927220999197289,-0.0048236354034574686,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
78890181c26c3b59,momentum,24,1,0.03,0.08,1,0.005,stress,159.96,-40.04,7.22,171,102,0.2002,-0.0009007805748766909,-0.0015460133423056538,
78890181c26c3b59,momentum,24,1,0.03,0.08,1,0.01,stress,159.7,-40.3,7.52,95,48,0.2015,-0.0009073399650285075,-0.002107988701520614,
78890181c26c3b59,momentum,24,1,0.03,0.08,1,0.025,stress,159.52,-40.48,7.39,38,18,0.2024,-0.0009118873400585021,-0.0031600039249332114,
78890181c26c3b59,momentum,24,1,0.03,0.08,1,0.05,stress,157.62,-42.38,10.5,35,22,0.2119,-0.000960202796865053,-0.0028591233756277844,
aeb312acb692c5ec,momentum,24,1,0.03,0.08,3,0.005,costed,159.51,-40.49,5.68,164,86,0.20245,-0.000912140122434194,-0.0018876272658212962,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
aeb312acb692c5ec,momentum,24,1,0.03,0.08,3,0.01,costed,160.44,-39.56,6.3,98,45,0.20165,-0.0008886988937346159,-0.002624927488891475,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
aeb312acb692c5ec,momentum,24,1,0.03,0.08,3,0.025,costed,154.36,-45.64,9.93,67,33,0.23635641992458822,-0.0010444751204783014,-0.0042744915622477415,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
aeb312acb692c5ec,momentum,24,1,0.03,0.08,3,0.05,costed,158.52,-41.48,4.61,20,10,0.2074,-0.0009372443476846875,-0.0035230324751654414,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
aeb312acb692c5ec,momentum,24,1,0.03,0.08,3,0.005,stress,160.06,-39.94,5.0,191,105,0.20542096902303417,-0.0008982605710045826,-0.0017436051744757458,
aeb312acb692c5ec,momentum,24,1,0.03,0.08,3,0.01,stress,163.64,-36.36,6.3,129,63,0.20105458451323113,-0.0008090664253501569,-0.0020687946227826983,
aeb312acb692c5ec,momentum,24,1,0.03,0.08,3,0.025,stress,166.0,-34.0,6.51,58,30,0.21125154423643447,-0.0007513289443205384,-0.002880009336786279,
aeb312acb692c5ec,momentum,24,1,0.03,0.08,3,0.05,stress,149.93,-50.07,6.96,42,26,0.25035,-0.0011618905162952625,-0.0046333942366205555,
8badad8d1cfd3c35,momentum,24,1,0.03,0.08,,0.005,costed,158.43,-41.57,6.0,225,117,0.21119034558420186,-0.0009395343191979243,-0.001896671322828667,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
8badad8d1cfd3c35,momentum,24,1,0.03,0.08,,0.01,costed,157.37,-42.63,6.55,132,59,0.2153861494739991,-0.0009666034110292884,-0.0027139670214271806,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
8badad8d1cfd3c35,momentum,24,1,0.03,0.08,,0.025,costed,178.15,-21.85,9.25,76,42,0.22165264633718892,-0.00046649788103302867,-0.0035048202449811435,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
